Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
10,10,0.99988866,0.480736,-0.9997289,0.5781629,90.72793360201801,49,723.1934012884507,90.72793360201801,52.515423249967945,127.3553450674045,4.043730755698486,0.9004797947131624,0.3708422578452007,0.5914081588684735,549,54389,427,100.75510204081633,70,64.54852015004694,1.0,0.31478104,-0.99970347,0.64225465,83.21658457233981,13,229.38377437366313,83.21658457233981,44.08096540738252,48.55137845921206,3.4600350968066804,1.0818155994404175,0.10717137123905236,0.5819277523993245,193,12000,137,76.92307692307692,46,27.569385301764708,12000,0.0043023377656936646,11.69063067343086,3.2373436959460378,0.8988125771284103,0.01074813911691308,7.528591665439308,0.010789870750159025,137.07583456626162,4.2387284338474274e-05,0.13775242865085602,0.7007755041122437,12.444233,3.3535168,-4.118291,3.1123478,-125.05569,242.67459,121.73535,0.44597614,38.129257,242.10477,122.773834,1.7028345,37.579136,246.55623,122.43971,2.0578887,37.831387,61.57511,56.19448,11000,0.99972945,-0.01142742,-0.9998686,0.71913856,0.5247301,-1.0030955,-2.3524222,0.43734336,1.6900027,0.40392688,0.09513844,0.18947043
11,11,0.9999504,0.15294838,-0.99932194,0.5560476,119.91498269264272,65,122.42092938583455,119.91498269264272,118.91939230813227,0.8159609547491179,2.991773058141463,1.5683046026200758,0.24231168082764593,0.6190842695429668,614,59359,77,76.46153846153847,76,0.4985185152621431,0.9999965,0.14572504,-0.9999832,0.5839714,114.19005547770954,14,134.12175713106316,114.19005547770954,5.51804855728109,30.383080588114648,3.0233983244450533,1.5986607766879335,0.2225548924233978,0.5907227501961513,207,13000,79,71.42857142857143,6,18.168710488538437,13000,0.0037863212637603283,11.502460089046508,3.1297661950811744,0.8762285998091102,0.01043285010382533,7.4719287496991456,0.010276251006871462,148.89963609259576,4.1122082620859146e-05,0.15399223566055298,0.024999115616083145,13.159321,3.0133624,-2.5994523,2.7544756,-128.43262,223.56482,126.18451,0.57130265,34.70904,227.99243,126.07362,4.4845405,34.540653,226.23802,126.15333,0.8326435,34.814297,22.621916,21.535517,12000,0.9998102,0.13397284,-0.9999828,0.7094985,0.54095155,-1.0185112,-1.9766976,0.3937603,1.7176405,0.39144826,0.13852596,0.17107178
12,12,0.99837327,0.14452806,-0.9964809,0.5812995,171.87471649501475,52,207.32394202812762,171.87471649501475,149.99810256940663,14.152626967636081,2.7695387117625128,1.820632564216901,0.9214301851898368,0.3411223824405902,666,64268,106,94.40384615384616,86,4.8724485054097615,0.9997024,0.12796043,-0.9997457,0.6020378,173.5362680333192,11,262.36815528189913,173.5362680333192,1.9088877453443676,62.1627689799205,3.0585597644374722,1.9088989483665113,0.897133014813246,0.40809094038272997,218,14000,120,90.9090909090909,2,29.574111976077212,14000,0.0038162190467119217,11.274987486191094,3.101831767708063,0.9082399583421648,0.010120438877493143,7.24052976584062,0.010408997070044279,160.4954531127587,4.0339305996894836e-05,0.1628243327140808,0.1308579444885254,12.802087,3.0720947,-3.154758,2.513553,-135.76959,248.19986,132.82764,0.8402728,41.131744,248.14581,133.34093,1.1197029,40.2927,248.19258,133.47543,1.5150878,40.608253,89.56084,78.14148,13000,0.9985124,0.19652297,-0.99947184,0.70561767,0.063806176,-1.0576584,-2.4829373,0.39913034,1.0658858,0.3753374,0.0834976,0.1486876
13,13,0.9983972,0.17221044,-0.9933809,0.5086914,221.6951487210042,49,236.63528794643392,221.6951487210042,219.48887191494492,2.382405135030212,3.298418289340323,2.2155950004750573,0.8985728686010297,0.6093643480917155,715,69171,111,100.06122448979592,98,1.8228500141520496,0.9996749,0.18425022,-0.99901104,0.57508224,221.9596727281308,10,239.64097738976295,221.9596727281308,217.53367155674556,6.188520036564222,3.330686233934347,2.2195967272813086,0.86488959440523,0.624943246508303,228,15000,113,100.0,96,4.560701700396552,15000,0.0036042192950844765,11.342323148623109,3.1009949389845133,0.8752686898224056,0.010261937975883484,7.34209147002548,0.010052392724901438,172.1760975155048,4.949979484081268e-05,0.1926746815443039,0.23806343972682953,14.5378475,3.1445656,-6.2088127,3.1099458,-145.57716,244.89938,142.04128,-1.2551813,44.791737,245.75339,142.08914,0.08626074,44.41667,243.96626,141.72523,0.21551107,44.7905,35.36586,32.568398,14000,0.99968064,0.1569738,-0.99970025,0.729019,0.13526562,-0.96114856,-2.0610504,0.39977455,1.1448408,0.41346467,0.12732017,0.16420983
14,14,0.9927183,0.16962914,-0.9817816,0.47629738,253.53479370744964,43,266.9718143353683,253.53479370744964,239.57837967365032,6.283034525704435,3.2858816242195146,2.2163033399919363,0.9366750729201062,0.5362881119394418,758,74090,120,114.3953488372093,109,2.5982063122668495,0.99949205,0.15490814,-0.99886966,0.57157356,216.7367321395218,10,250.83101001499904,216.7367321395218,89.12165450627546,44.38057355374852,3.2077753336924877,2.167367321395219,0.9230917865476108,0.562911753462914,238,16000,112,100.0,50,17.326280616450838,16000,0.0037269550375640392,11.749331904575229,3.1360173081047833,0.9006593660451472,0.010422780178487301,7.6880604471080005,0.010402902029454708,184.2607901855372,4.2146071791648865e-05,0.20495595037937164,-0.1418021023273468,14.879184,2.9105327,-4.049952,2.9334304,-152.24367,262.9594,147.80841,-2.3177454,49.763527,265.729,149.06213,0.06684089,49.779434,263.5875,149.25952,0.25359446,50.046757,25.453384,27.985321,15000,0.9993162,0.17892218,-0.9999404,0.71938443,0.21971743,-0.9375775,-2.2380884,0.37718073,1.2457247,0.41954637,0.1066622,0.15642732
15,15,0.9819268,0.041554123,-0.9887972,0.45141232,208.4873307163602,47,219.25742875274753,208.4873307163602,200.38720657824766,4.579442118421361,2.5690560210459683,1.9597809087337856,0.9082091908274292,0.39190643136930936,805,79090,113,106.38297872340425,102,2.605666423429063,0.997229,0.050569743,-0.9985624,0.5398509,196.2865776357466,10,221.70152591770284,196.2865776357466,111.83972464648724,29.637536988233673,3.075364002107796,1.9628657763574662,0.8443945812024539,0.41610429928944886,248,17000,112,100.0,62,13.725887949418793,17000,0.0036279233172535896,11.347736252937466,3.1511790272779763,0.9092374402098358,0.013422707095742226,7.259340655058622,0.010874303989112377,195.92842803150415,5.4195988923311234e-05,0.2058635652065277,0.282310426235199,11.417442,3.1786163,-3.3650362,2.8385963,-163.1649,313.31284,160.85225,0.7711642,51.653656,308.5842,160.39911,0.2709487,52.126667,303.2727,160.73532,0.16242781,51.990746,24.521954,22.222446,16000,0.9999761,0.22337882,-0.999158,0.7133774,0.38196543,-0.9134982,-2.2875888,0.4193145,1.4651614,0.43761405,0.10151093,0.1890459
16,16,0.99704504,0.15814763,-0.970159,0.5187136,225.0016041776582,49,226.56627948214842,225.0016041776582,223.12453822041752,1.1912607884218476,3.1654589046565347,2.2390492698426585,0.9069552140999816,0.6313743764159041,854,84014,101,100.48979591836735,100,0.499895865874118,0.99994314,0.14833568,-0.99841946,0.5794241,224.1885354260155,10,229.9167431929685,224.1885354260155,214.02208443096296,5.653314182723077,3.4809872932069443,2.241885354260155,0.8695416872877034,0.6362181480494563,258,18000,102,100.0,95,2.5298221281347035,18000,0.003792871255427599,11.513483103830367,3.19861644692719,0.9036446162499487,0.010227969381958246,7.387332732323557,0.00982655631378293,207.7724612588063,4.1911378502845764e-05,0.22055859863758087,0.6605572700500488,14.472464,3.4369943,-5.6556325,3.3368714,-176.60544,269.19745,172.5033,0.80138946,52.968925,268.88855,172.47154,0.07317092,51.983044,264.04132,172.74849,0.066811055,52.29594,36.008957,37.703953,17000,0.99996114,0.21790202,-0.9998948,0.7165373,0.71807814,-0.86850506,-2.6425307,0.4049054,2.0504887,0.45493683,0.0711809,0.19247435
17,17,0.9980761,0.15078543,-0.9990861,0.48355126,215.92378943072734,50,236.84893657483954,215.92378943072734,206.43428649573394,4.785486397122675,3.4424559433247084,2.1925648804907327,0.7813473675648175,0.6027655575768479,904,88938,107,98.48,92,2.2202702538204666,0.9997607,0.15450247,-0.99980795,0.587975,199.899473604677,11,220.721814047648,199.899473604677,46.689680247100654,48.592081415109384,3.750413898278731,2.1988942096514474,0.7117832785119972,0.6754188157517914,269,19000,102,90.9090909090909,32,18.792912326699348,19000,0.0037134536541998386,11.295558758080006,3.1755466288886964,0.8834176366217434,0.010393288917839527,7.212259455118328,0.01018573110923171,219.39094194211066,4.256376996636391e-05,0.22102993726730347,-0.1760035753250122,15.566459,2.8833995,-11.805017,3.1498296,-176.98996,306.3916,173.65402,-2.9107614,63.122173,301.79385,174.37749,0.07545555,62.8571,304.3376,174.58737,0.2841182,63.1204,18.469328,21.806133,18000,0.9993623,0.16164286,-0.9995193,0.7212138,0.19135213,-0.9272561,-2.6301239,0.40229836,1.2108858,0.42772612,0.07206953,0.1699294
18,18,0.9867843,0.091564365,-0.9766743,0.41071382,232.41342273465682,45,245.8949122143847,232.41342273465682,223.7168913379307,4.439946803627287,3.3794656199467954,2.109440101464211,0.7280558313927349,0.6908322448371289,949,93896,124,110.17777777777778,102,4.270253122286203,0.9991195,0.09162219,-0.9999969,0.55019695,221.65406301540855,10,368.1179483255128,221.65406301540855,41.38640009351588,74.06430243854217,3.808820075442752,2.2165406301540855,0.7040253083446277,0.7504561281161268,279,20000,146,100.0,30,27.967838672303586,20000,0.003620507661253214,11.64495841646567,3.1943843569606543,0.8820886281318963,0.010747159831225872,7.544503192417324,0.00957195833325386,231.37414858862758,4.261313006281853e-05,0.2157820612192154,-0.32201701402664185,16.309654,2.79001,-4.2716966,3.022325,-178.1185,334.13495,175.28296,1.8901664,68.481674,328.34665,174.4324,6.1150365,68.185356,325.95343,174.69708,5.624306,68.344894,35.663933,39.817482,19000,0.9995467,0.04247734,-0.99991566,0.71029514,0.51524127,-0.94132423,-2.4224694,0.47711316,1.6740423,0.43750882,0.088702306,0.22291572
19,19,0.99942666,0.08277137,-0.9999999,0.46280724,322.25529736680386,29,548.9725965071582,322.25529736680386,219.92283337940805,88.5072404875522,5.516936360891332,1.9130816015634207,0.8258744913358773,0.7003901473187334,978,98781,346,168.44827586206895,104,61.939117051870205,0.9999491,0.06858826,-0.9999993,0.51673955,305.96767729187934,6,414.07929827110934,305.96767729187934,183.12709544202468,93.1695869581827,5.482317121640273,1.835806063751276,0.7777031121136404,0.7305741079545763,285,21000,256,166.66666666666666,86,61.553951042064625,21000,0.003727233037352562,11.838179494254291,3.203606203664094,0.8926857360638678,0.010261334013193846,7.715623967349529,0.012231716886162758,243.55357525590807,4.33032400906086e-05,0.22256067395210266,0.28174716234207153,16.11347,3.187512,-6.017256,2.9780455,-191.2344,376.0648,188.66687,1.5791405,68.30016,377.9815,188.64102,5.953208,69.14146,377.74982,188.5263,6.9634833,68.695366,27.344362,27.15634,20000,0.99991447,0.0061898627,-0.9998806,0.72563404,0.77459633,-1.0248296,-2.3772528,0.47292712,2.1697161,0.40141854,0.09280518,0.2031902
