Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
10,10,0.9998623,0.24425846,-0.99987435,0.608672,246.76375699668242,32,533.0072894458218,246.76375699668242,38.5317959933918,86.1384548542107,13.713364804500552,1.5923452760423142,-6.60935132068676,1.865032061030472,335,53974,461,154.96875,85,70.44833407141364,1.0,0.2356942,-0.99998623,0.6578873,226.56344222672755,8,371.5729575417307,226.56344222672755,67.4412632184863,79.59535938727632,14.038665234421886,1.8125075378138205,-7.157623780117682,2.1816006536615276,247,12000,225,125.0,61,45.15805575974236,12000,0.0038159829564392567,21.646418530493975,2.8207621150650084,0.8340782169252634,0.15234982105903327,17.45089574949816,0.38440701412037015,249.6201557831373,0.00010963086970150471,0.08322252333164215,-1.9808084964752197,20.72538,5.203291,-5.2970066,4.375221,-70.526276,150.6208,69.37262,-12.734584,26.304573,146.60316,69.09355,-12.232627,26.258934,148.45067,68.95416,-9.62034,26.35479,18.144127,16.530067,11000,0.9997599,0.25622597,-0.99999416,0.65936005,0.17431822,-1.0151932,-2.5156155,0.41306853,1.1904343,0.3911853,0.08081316,0.1428918
11,11,0.9999891,0.21201624,-0.9999934,0.6504425,44.78359252930727,28,387.7374037113967,44.78359252930727,-156.31901521033694,139.23725890804033,12.656327840351878,0.2587044751022496,-7.459650148112495,2.2966712747448903,363,58821,397,173.10714285714286,79,72.3860381593589,0.9999404,0.19590124,-0.99998975,0.6731002,1.3117469049048616,8,168.96708941017386,1.3117469049048616,-98.77163017369386,91.27508004112201,14.533429211010104,0.010493975239238836,-9.185624036623935,2.6264705702168447,255,13000,210,125.0,77,39.607448794387146,13000,0.0038153589703142643,21.786865543806925,2.902723338920623,0.8478009121026844,0.16970010404475033,17.402286952594295,0.46045682299882174,272.4595515038818,8.205417543649673e-05,0.07765533775091171,-2.043887138366699,30.432533,5.2001925,-2.9959514,4.30636,-70.08905,145.15097,68.25856,-13.474089,27.234695,148.88109,68.77362,-13.334161,26.554186,141.52057,68.45944,-11.109288,26.512072,27.394905,22.40707,12000,0.9996689,0.15185677,-0.9991588,0.69043124,0.09051398,-1.0367848,-2.7253137,0.3927186,1.0947368,0.37974724,0.06552564,0.12969376
12,12,0.99991035,0.26175135,-0.9999438,0.58730817,67.9688851161851,27,385.7869863379275,67.9688851161851,-244.49815578186954,150.0380841320305,12.141143932046596,0.37621154123349676,-5.191850655448202,1.5926003601668646,390,63699,355,180.66666666666666,67,72.80211637135385,0.9999733,0.27661234,-0.9995797,0.6062584,98.27347824077778,6,237.98303753799848,98.27347824077778,-25.336151279927503,98.9411550874336,7.814990235057994,0.5896408694446666,-3.830459919774033,1.537197048629269,261,14000,201,166.66666666666666,142,19.344824171395878,14000,0.004093069117516279,21.430693551898003,2.8988009949680418,0.8540997989475727,0.14800678007304668,16.96157186711207,0.5640161058399826,294.79870811779983,0.00010493583977222443,0.07153686881065369,-0.794983983039856,31.401928,5.6985893,-5.1459117,4.4178543,-70.65738,140.95085,68.53231,-12.405763,29.81975,139.19861,68.626495,-13.367148,28.906422,144.54272,69.36213,-11.989285,28.80831,23.819225,27.555086,13000,0.99996597,0.2768128,-0.99884707,0.66463864,0.51358414,-1.0542704,-2.4773114,0.43143055,1.6712705,0.3796451,0.083968684,0.15168248
13,13,0.9999949,0.2205212,-0.9999999,0.60280114,240.98866593525315,33,458.06989254767535,240.98866593525315,55.262166596772964,97.96871023545471,14.075807622643035,1.6049699244931084,-7.108024491089761,1.8154493067303625,423,68654,283,150.15151515151516,46,56.62054515869617,0.99996674,0.24786344,-0.9999172,0.617364,215.0215996616557,6,355.1291937890703,215.0215996616557,87.11747424199599,90.219500971439,13.166742223256579,1.2901295979699343,-4.027491239169657,1.9783627457534905,267,15000,241,166.66666666666666,108,50.36091959269829,15000,0.0036986381746828556,21.70797900785692,2.8878489860799164,0.8455051330383867,0.18505145399831235,17.310403293464333,0.4753878409974277,317.4255116134882,8.366210386157036e-05,0.06450682878494263,1.075178861618042,23.675392,6.39226,-5.72324,4.714846,-71.112206,153.90202,68.93622,-14.663323,32.095963,150.52028,68.64662,-14.685143,30.847662,152.97942,68.678024,-14.542101,30.963816,25.352493,32.19094,14000,0.9999114,0.32070366,-0.99995214,0.6362934,-0.04731475,-1.1395314,-2.51809,0.41793817,0.95378715,0.3467407,0.080613434,0.13214163
14,14,0.99999756,0.35942787,-0.9999993,0.6823011,107.01566237091511,43,330.5505016248712,107.01566237091511,-37.1723683243625,97.89240749447096,13.697095392750812,0.924402065477973,-7.44724324342508,2.4392858451232624,466,73632,386,115.76744186046511,43,65.40636382141759,0.9999993,0.36009648,-0.99999994,0.6925696,94.04067330977772,11,219.91594782115163,94.04067330977772,-15.194029356241424,78.65894899727164,10.043126368884426,1.034447406407555,-4.5338662302698225,2.5170768226145057,278,16000,169,90.9090909090909,63,36.99251655391581,16000,0.004246575990691781,22.111072305357084,2.85467717400752,0.8249668080825359,0.23023305810056627,17.875706567196175,0.3210853941272944,340.6410751596559,0.00015672785229980946,0.06169949099421501,0.4849017858505249,27.343857,6.174082,-6.2798285,5.3163548,-77.205826,193.83562,75.219925,-20.95509,33.355537,198.31181,75.47496,-24.07375,33.50978,199.53293,75.22174,-19.063885,33.800453,25.566772,32.066772,15000,0.9999791,0.12959586,-0.9999467,0.7000173,0.40385583,-1.109159,-2.8658948,0.46096602,1.497588,0.36340007,0.05693217,0.15465449
15,15,0.99999624,0.34877813,-0.9999897,0.6536818,184.0142427764217,50,364.35601391401127,184.0142427764217,114.20272878001677,50.74328028981133,7.459709945119352,1.8445693943105623,-2.4974488798922843,1.8565815618494184,516,78620,194,99.76,70,27.865074914666927,0.9999976,0.32199746,-0.9999988,0.6546996,206.5832487402602,8,345.2062451325378,206.5832487402602,102.67875019198983,78.48036618538605,8.43178460257777,1.6526659899220817,-4.013788511846858,2.023927732584739,286,17000,216,125.0,67,49.691548577197715,17000,0.0042006089352071285,22.130578349577263,2.8362207310274243,0.8394618560560048,0.16131111490540206,17.794157724594697,0.4950888939201832,363.9014438590966,0.00013742013834416866,0.06619583815336227,-0.06282854080200195,29.691372,5.9768596,-5.6535854,4.985796,-74.11883,151.85316,73.24723,-16.128527,35.90417,154.711,73.51315,-18.105177,35.700504,150.11485,72.58126,-16.327042,34.78914,25.222813,28.520775,16000,0.99999917,0.25739136,-0.99973834,0.66008335,0.59913206,-1.1039668,-2.6617353,0.4270405,1.820538,0.36101088,0.069826946,0.14810085
16,16,0.9999665,0.30309692,-0.9999383,0.6272228,210.57378187968982,31,366.39147795471473,210.57378187968982,18.338595548045863,77.83556456189598,12.480222500475632,1.3398578075267624,-6.437986560617602,2.01276127727117,547,83492,372,157.16129032258064,73,65.47350942972848,0.99994236,0.28740612,-0.9999677,0.5986316,204.6139050797455,7,414.81551693650124,204.6139050797455,-18.418103280474934,156.12360180510254,14.29730461242923,1.432297335558218,-6.559289285441922,1.7840663820496263,293,18000,228,142.85714285714286,39,69.48674811260997,18000,0.004000982968136668,20.797113253735006,2.9337815400213003,0.8659777669236064,0.04784722509793937,16.512239544885233,0.4331047299783677,385.6195923134219,0.00016146386042237282,0.06737112998962402,0.2583407163619995,21.842484,6.095769,-7.484827,4.6274567,-76.41193,183.69598,74.77048,-19.138556,35.445255,185.4381,75.09449,-17.642395,35.282986,184.70233,75.9176,-15.299258,34.686737,26.54409,34.53385,17000,0.99998397,0.28618503,-0.9995772,0.6413591,0.69233954,-1.2278463,-2.6955469,0.4415166,1.9983853,0.32120907,0.06750546,0.13904366
17,17,0.99998736,0.23419763,-0.9999973,0.66026944,119.65048408174749,39,369.89287245066686,119.65048408174749,-44.39164677697311,126.97220055365464,13.715797995778193,0.9373983284829558,-7.23014664011247,2.37179569334305,586,88470,253,127.64102564102564,65,53.30006358753467,0.99997574,0.24949317,-0.99999875,0.67089623,100.06415348513136,7,231.0770807459304,100.06415348513136,20.19758720219752,76.4111809997798,8.854924123730122,0.7004490743959195,-5.7855072593462396,2.473973723114066,300,19000,378,142.85714285714286,74,99.44765826651664,19000,0.003775455057621002,19.587701216572896,2.867732080165297,0.8424213291145861,0.09979689889587462,15.552183602470905,0.22172169806435704,405.98982591787353,7.015280425548553e-05,0.06627870351076126,0.746931791305542,27.667908,6.275226,-1.7657323,4.267386,-86.03471,170.52977,84.301476,-8.713543,30.644606,179.32666,84.65493,-4.670826,30.86974,179.27385,85.420105,-7.387472,31.171705,34.58027,40.064598,18000,0.99992853,0.2600494,-0.9999751,0.645364,0.018902993,-1.2838136,-2.8331666,0.433546,1.0190828,0.30237454,0.05882628,0.122925
18,18,0.99984825,0.29585963,-0.9998952,0.5874279,191.5551051323597,32,1009.1630676209597,191.5551051323597,-18.57825516223353,194.03097184611357,10.28094960634271,1.2405916543686522,-6.377777286833241,1.9915309395326508,618,93411,1000,154.40625,68,157.03878091394336,0.99999845,0.28082812,-0.99986,0.63339764,160.57186091226706,5,293.913930730771,160.57186091226706,16.74004933955033,109.08260775083058,7.761671288810501,0.8028593045613353,-6.09563044446643,1.9977668246283946,305,20000,274,200.0,116,61.148998356473506,20000,0.003785496111959219,18.826069731730968,2.865975131979212,0.8351881348062307,0.16057242010720074,14.671998500591144,0.28841636213473976,425.74232698767446,0.0001336860004812479,0.06883136183023453,-1.664523720741272,16.817322,5.3780026,-5.7867284,3.3990228,-82.73421,151.91559,81.4458,-14.594833,33.464703,157.28394,82.16799,-16.002138,33.41904,156.21236,81.5361,-14.8478775,33.1969,27.434343,27.963955,19000,0.9997308,0.26470417,-0.9978707,0.63425136,-0.012756423,-1.2248746,-2.7894442,0.4635225,0.9873246,0.32490286,0.061455358,0.14238286
19,19,0.99999624,0.38159546,-0.99996036,0.53868055,293.81470861290467,20,994.2016503299011,293.81470861290467,95.38642163166685,238.5058389484214,7.456724039114063,1.2345155824071623,-4.1610801328873865,1.343335441659906,638,98171,1000,238.0,87,263.34805866001744,0.99999243,0.33281246,-0.999948,0.5991502,235.0168139830558,6,326.5992021559886,235.0168139830558,148.84075506115244,74.69914065421362,5.991954220007989,1.4101008838983347,-2.6711964944818765,1.3294376715205387,311,21000,339,166.66666666666666,86,87.21939131994802,21000,0.00374402804300189,22.084449704969302,2.8346522140782326,0.8345983419567347,0.12426877184771001,17.79645332833752,0.49056683387607336,448.8629658743739,0.00016618683002889156,0.07115696370601654,-0.19095981121063232,27.319271,5.9277453,-3.1831214,4.853114,-83.634155,155.91063,81.65535,-17.291874,35.121544,164.80112,80.70882,-19.247066,34.2172,172.73445,81.48697,-15.346028,34.11354,28.324787,44.945847,20000,0.9999969,0.33482778,-0.99996006,0.6156,0.33205462,-1.1319047,-2.8551092,0.45230055,1.393829,0.35545146,0.057549536,0.15804836
